state,pcode,pname,ncode,nname
PAHANG,89,BENTONG,34,KETARI
PAHANG,89,BENTONG,35,SABAI
PAHANG,89,BENTONG,36,PELANGAI
PAHANG,90,BERA,37,GUAI
PAHANG,90,BERA,38,TRIANG
PAHANG,90,BERA,39,KEMAYAN
PAHANG,91,ROMPIN,40,BUKIT IBAM
PAHANG,91,ROMPIN,41,MUADZAM SHAH
PAHANG,91,ROMPIN,42,TIOMAN
SELANGOR,92,SABAK BERNAM,1,SUNGAI AIR TAWAR
SELANGOR,92,SABAK BERNAM,2,SABAK
SELANGOR,93,SUNGAI BESAR,3,SUNGAI PANJANG
SELANGOR,93,SUNGAI BESAR,4,SEKINCHAN
SELANGOR,94,HULU SELANGOR,5,HULU BERNAM
SELANGOR,94,HULU SELANGOR,6,KUALA KUBU BAHARU
SELANGOR,94,HULU SELANGOR,7,BATANG KALI
SELANGOR,95,TANJONG KARANG,8,SUNGAI BURONG
SELANGOR,95,TANJONG KARANG,9,PERMATANG
SELANGOR,96,KUALA SELANGOR,10,BUKIT MELAWATI
SELANGOR,96,KUALA SELANGOR,11,IJOK
SELANGOR,96,KUALA SELANGOR,12,JERAM
SELANGOR,97,SELAYANG,13,KUANG
SELANGOR,97,SELAYANG,14,RAWANG
SELANGOR,97,SELAYANG,15,TAMAN TEMPLER
SELANGOR,98,GOMBAK,16,BATU CAVES
SELANGOR,98,GOMBAK,17,GOMBAK SETIA
SELANGOR,98,GOMBAK,18,HULU KELANG
SELANGOR,99,AMPANG,19,BUKIT ANTARABANGSA
SELANGOR,99,AMPANG,20,LEMBAH JAYA
SELANGOR,100,PANDAN,21,CHEMPAKA
SELANGOR,100,PANDAN,22,TERATAI
SELANGOR,101,HULU LANGAT,23,DUSUN TUA
SELANGOR,101,HULU LANGAT,24,SEMENYIH
SELANGOR,101,HULU LANGAT,25,KAJANG
SELANGOR,102,SERDANG,26,BANGI
SELANGOR,102,SERDANG,27,BALAKONG
SELANGOR,102,SERDANG,28,SERI KEMBANGAN
SELANGOR,103,PUCHONG,29,SERI SERDANG
SELANGOR,103,PUCHONG,30,KINRARA
SELANGOR,104,KELANA JAYA,31,SUBANG JAYA
SELANGOR,104,KELANA JAYA,32,SERI SETIA
SELANGOR,105,PETALING JAYA SELATAN,33,TAMAN MEDAN
SELANGOR,105,PETALING JAYA SELATAN,34,BUKIT GASING
SELANGOR,106,PETALING JAYA UTARA,35,KAMPUNG TUNKU
SELANGOR,106,PETALING JAYA UTARA,36,DAMANSARA UTAMA
SELANGOR,107,SUBANG,37,BUKIT LANJAN
SELANGOR,107,SUBANG,38,PAYA JARAS
SELANGOR,107,SUBANG,39,KOTA DAMANSARA
SELANGOR,108,SHAH ALAM,40,KOTA ANGGERIK
SELANGOR,108,SHAH ALAM,41,BATU TIGA
SELANGOR,109,KAPAR,42,MERU
SELANGOR,109,KAPAR,43,SEMENTA
SELANGOR,109,KAPAR,44,SUNGAI PINANG
SELANGOR,109,KAPAR,45,SELAT KLANG
SELANGOR,110,KLANG,46,PELABUHAN KLANG
SELANGOR,110,KLANG,47,PANDAMARAN
SELANGOR,110,KLANG,48,KOTA ALAM SHAH
SELANGOR,111,KOTA RAJA,49,SERI ANDALAS
SELANGOR,111,KOTA RAJA,50,SRI MUDA
SELANGOR,112,KUALA LANGAT,51,SIJANGKANG
SELANGOR,112,KUALA LANGAT,52,TELUK DATUK
SELANGOR,112,KUALA LANGAT,53,MORIB
SELANGOR,113,SEPANG,54,TANJONG SEPAT
SELANGOR,113,SEPANG,55,DENGKIL
SELANGOR,113,SEPANG,56,SUNGAI PELEK
W.P. KUALA LUMPUR,114,KEPONG,0,
W.P. KUALA LUMPUR,115,BATU,0,
W.P. KUALA LUMPUR,116,WANGSA MAJU,0,
W.P. KUALA LUMPUR,117,SEGAMBUT,0,
W.P. KUALA LUMPUR,118,SETIAWANGSA,0,
W.P. KUALA LUMPUR,119,TITIWANGSA,0,
W.P. KUALA LUMPUR,120,BUKIT BINTANG,0,
W.P. KUALA LUMPUR,121,LEMBAH PANTAI,0,
W.P. KUALA LUMPUR,122,SEPUTEH,0,
W.P. KUALA LUMPUR,123,CHERAS,0,
W.P. KUALA LUMPUR,124,BANDAR TUN RAZAK,0,
W.P. PUTRAJAYA,125,PUTRAJAYA,0,
NEGERI SEMBILAN,126,JELEBU,1,CHENNAH
NEGERI SEMBILAN,126,JELEBU,2,PERTANG
NEGERI SEMBILAN,126,JELEBU,3,SUNGAI LUI
NEGERI SEMBILAN,126,JELEBU,4,KLAWANG
NEGERI SEMBILAN,127,JEMPOL,5,SERTING
NEGERI SEMBILAN,127,JEMPOL,6,PALONG
NEGERI SEMBILAN,127,JEMPOL,7,JERAM PADANG
NEGERI SEMBILAN,127,JEMPOL,8,BAHAU
NEGERI SEMBILAN,128,SEREMBAN,9,LENGGENG
NEGERI SEMBILAN,128,SEREMBAN,10,NILAI
NEGERI SEMBILAN,128,SEREMBAN,11,LOBAK
NEGERI SEMBILAN,128,SEREMBAN,12,TEMIANG
NEGERI SEMBILAN,128,SEREMBAN,13,SIKAMAT
NEGERI SEMBILAN,128,SEREMBAN,14,AMPANGAN
NEGERI SEMBILAN,129,KUALA PILAH,15,JUASSEH
NEGERI SEMBILAN,129,KUALA PILAH,16,SERI MENANTI
NEGERI SEMBILAN,129,KUALA PILAH,17,SENALING
NEGERI SEMBILAN,129,KUALA PILAH,18,PILAH
NEGERI SEMBILAN,129,KUALA PILAH,19,JOHOL
NEGERI SEMBILAN,130,RASAH,20,LABU
NEGERI SEMBILAN,130,RASAH,21,BUKIT KEPAYANG
NEGERI SEMBILAN,130,RASAH,22,RAHANG
NEGERI SEMBILAN,130,RASAH,23,MAMBAU
NEGERI SEMBILAN,130,RASAH,24,SENAWANG
NEGERI SEMBILAN,131,REMBAU,25,PAROI
NEGERI SEMBILAN,131,REMBAU,26,CHEMBONG
NEGERI SEMBILAN,131,REMBAU,27,RANTAU
NEGERI SEMBILAN,131,REMBAU,28,KOTA
NEGERI SEMBILAN,132,TELOK KEMANG,29,CHUAH
NEGERI SEMBILAN,132,TELOK KEMANG,30,LUKUT
NEGERI SEMBILAN,132,TELOK KEMANG,31,BAGAN PINANG
NEGERI SEMBILAN,132,TELOK KEMANG,32,LINGGI
NEGERI SEMBILAN,132,TELOK KEMANG,33,PORT DICKSON
NEGERI SEMBILAN,133,TAMPIN,34,GEMAS
NEGERI SEMBILAN,133,TAMPIN,35,GEMENCHEH
NEGERI SEMBILAN,133,TAMPIN,36,REPAH
MELAKA,134,MASJID TANAH,1,KUALA LINGGI
MELAKA,134,MASJID TANAH,2,TANJUNG BIDARA
MELAKA,134,MASJID TANAH,3,AYER LIMAU
MELAKA,134,MASJID TANAH,4,LENDU
MELAKA,134,MASJID TANAH,5,TABOH NANING
MELAKA,135,ALOR GAJAH,6,REMBIA
MELAKA,135,ALOR GAJAH,7,GADEK
MELAKA,135,ALOR GAJAH,8,MACHAP
MELAKA,135,ALOR GAJAH,9,DURIAN TUNGGAL
MELAKA,135,ALOR GAJAH,10,ASAHAN
MELAKA,136,TANGGA BATU,11,SUNGAI UDANG
MELAKA,136,TANGGA BATU,12,PANTAI KUNDOR
MELAKA,136,TANGGA BATU,13,PAYA RUMPUT
MELAKA,136,TANGGA BATU,14,KELEBANG
MELAKA,137,BUKIT KATIL,15,BACHANG
MELAKA,137,BUKIT KATIL,16,AYER KEROH
MELAKA,137,BUKIT KATIL,17,BUKIT BARU
MELAKA,137,BUKIT KATIL,18,AYER MOLEK
MELAKA,138,KOTA MELAKA,19,KESIDANG
MELAKA,138,KOTA MELAKA,20,KOTA LAKSAMANA
MELAKA,138,KOTA MELAKA,21,DUYONG
MELAKA,138,KOTA MELAKA,22,BANDAR HILIR
MELAKA,138,KOTA MELAKA,23,TELOK MAS
MELAKA,139,JASIN,24,BEMBAN
MELAKA,139,JASIN,25,RIM
MELAKA,139,JASIN,26,SERKAM
MELAKA,139,JASIN,27,MERLIMAU
MELAKA,139,JASIN,28,SUNGAI RAMBAI
JOHOR,140,SEGAMAT,1,BULOH KASAP
JOHOR,140,SEGAMAT,2,JEMENTAH
JOHOR,141,SEKIJANG,3,PEMANIS
JOHOR,141,SEKIJANG,4,KEMELAH
JOHOR,142,LABIS,5,TENANG
JOHOR,142,LABIS,6,BEKOK
JOHOR,143,PAGOH,7,BUKIT SERAMPANG
JOHOR,143,PAGOH,8,JORAK
JOHOR,144,LEDANG,9,GAMBIR
JOHOR,144,LEDANG,10,TANGKAK
JOHOR,144,LEDANG,11,SEROM
JOHOR,145,BAKRI,12,BENTAYAN
JOHOR,145,BAKRI,13,SUNGAI ABONG
JOHOR,145,BAKRI,14,BUKIT NANING
JOHOR,146,MUAR,15,MAHARANI
JOHOR,146,MUAR,16,SUNGAI BALANG
JOHOR,147,PARIT SULONG,17,SEMERAH
JOHOR,147,PARIT SULONG,18,SRI MEDAN
JOHOR,148,AYER HITAM,19,YONG PENG
JOHOR,148,AYER HITAM,20,SEMARANG
JOHOR,149,SRI GADING,21,PARIT YAANI
JOHOR,149,SRI GADING,22,PARIT RAJA
JOHOR,150,BATU PAHAT,23,PENGGARAM
JOHOR,150,BATU PAHAT,24,SENGGARANG
JOHOR,150,BATU PAHAT,25,RENGIT
JOHOR,151,SIMPANG RENGGAM,26,MACHAP
JOHOR,151,SIMPANG RENGGAM,27,LAYANG-LAYANG
JOHOR,152,KLUANG,28,MENGKIBOL
JOHOR,152,KLUANG,29,MAHKOTA
JOHOR,153,SEMBRONG,30,PALOH
JOHOR,153,SEMBRONG,31,KAHANG
JOHOR,154,MERSING,32,ENDAU
JOHOR,154,MERSING,33,TENGGAROH
JOHOR,155,TENGGARA,34,PANTI
JOHOR,155,TENGGARA,35,PASIR RAJA
JOHOR,156,KOTA TINGGI,36,SEDILI
JOHOR,156,KOTA TINGGI,37,JOHOR LAMA
JOHOR,157,PENGERANG,38,PENAWAR
JOHOR,157,PENGERANG,39,TANJONG SURAT
JOHOR,158,TEBRAU,40,TIRAM
JOHOR,158,TEBRAU,41,PUTERI WANGSA
JOHOR,159,PASIR GUDANG,42,JOHOR JAYA
JOHOR,159,PASIR GUDANG,43,PERMAS
JOHOR,160,JOHOR BAHRU,44,TANJONG PUTERI
JOHOR,160,JOHOR BAHRU,45,STULANG
JOHOR,161,PULAI,46,PENGKALAN RINTING
JOHOR,161,PULAI,47,KEMPAS
JOHOR,162,GELANG PATAH,48,SKUDAI
JOHOR,162,GELANG PATAH,49,NUSA JAYA
JOHOR,163,KULAI,50,BUKIT PERMAI
JOHOR,163,KULAI,51,BUKIT BATU
JOHOR,163,KULAI,52,SENAI
JOHOR,164,PONTIAN,53,BENUT
JOHOR,164,PONTIAN,54,PULAI SEBATANG
JOHOR,165,TANJONG PIAI,55,PEKAN NENAS
JOHOR,165,TANJONG PIAI,56,KUKUP
W.P.LABUAN,166,LABUAN,0,
SABAH,167,KUDAT,BANGGI,1
SABAH,167,KUDAT,BENGKOKA,2
SABAH,167,KUDAT,PITAS,3
SABAH,167,KUDAT,TANJONG KAPOR,4
SABAH,168,KOTA MARUDU,MATUNGGONG,5
SABAH,168,KOTA MARUDU,BANDAU,6
SABAH,168,KOTA MARUDU,TANDEK,7
SABAH,169,KOTA BELUD,PINTASAN,8
SABAH,169,KOTA BELUD,TEMPASUK,9
SABAH,169,KOTA BELUD,USUKAN,10
SABAH,169,KOTA BELUD,KADAMAIAN,11
SABAH,170,TUARAN,SULAMAN,12
SABAH,170,TUARAN,PANTAI DALIT,13
SABAH,170,TUARAN,TAMPARULI,14
SABAH,170,TUARAN,KIULU,15
SABAH,171,SEPANGGAR,KARAMBUNAI,16
SABAH,171,SEPANGGAR,DARAU,17
SABAH,171,SEPANGGAR,INANAM,18
SABAH,172,KOTA KINABALU,LIKAS,19
SABAH,172,KOTA KINABALU,API-API,20
SABAH,172,KOTA KINABALU,LUYANG,21
SABAH,173,PUTATAN,TANJONG ARU,22
SABAH,173,PUTATAN,PETAGAS,23
SABAH,173,PUTATAN,TANJUNG KERAMAT,24
SABAH,174,PENAMPANG,KAPAYAN,25
SABAH,174,PENAMPANG,MOYOG,26
SABAH,175,PAPAR,LIMBAHAU,27
SABAH,175,PAPAR,KAWANG,28
SABAH,175,PAPAR,PANTAI MANIS,29
SABAH,176,KIMANIS,BONGAWAN,30
SABAH,176,KIMANIS,MEMBAKUT,31
SABAH,177,BEAUFORT,KLIAS,32
SABAH,177,BEAUFORT,KUALA PENYU,33
SABAH,178,SIPITANG,LUMADAN,34
SABAH,178,SIPITANG,SINDUMIN,35
SABAH,179,RANAU,KUNDASANG,36
SABAH,179,RANAU,KARANAAN,37
SABAH,179,RANAU,PAGINATAN,38
SABAH,180,KENINGAU,TAMBUNAN,39
SABAH,180,KENINGAU,BINGKOR,40
SABAH,180,KENINGAU,LIAWAN,41
SABAH,181,TENOM,MELALAP,42
SABAH,181,TENOM,KEMABONG,43
SABAH,182,PENSIANGAN,TULID,44
SABAH,182,PENSIANGAN,SOOK,45
SABAH,182,PENSIANGAN,NABAWAN,46
SABAH,183,BELURAN,TELUPID,47
SABAH,183,BELURAN,SUGUT,48
SABAH,183,BELURAN,LABUK,49
SABAH,184,LIBARAN,GUM-GUM,50
SABAH,184,LIBARAN,SUNGAI MANILA,51
SABAH,184,LIBARAN,SUNGAI SIBUGA,52
SABAH,185,BATU SAPI,SEKONG,53
SABAH,185,BATU SAPI,KARAMUNTING,54
SABAH,186,SANDAKAN,ELOPURA,55
SABAH,186,SANDAKAN,TANJONG PAPAT,56
SABAH,187,KINABATANGAN,KUAMUT,57
SABAH,187,KINABATANGAN,LAMAG,58
